time,poa_direct,poa_sky_diffuse,poa_ground_diffuse,solar_elevation,temp_air,wind_speed,Int,ghi,dhi,dni
2019-01-01 00:30:00+00:00,0.0,0.0,0.0,-0.99,-16.36,1.59,0,0.0,0.0,0.0
2019-01-01 01:30:00+00:00,67.0,51.5,0.0,8.65,-15.96,1.59,0,118.5,51.5,440.9003130613024
2019-01-01 02:30:00+00:00,212.61,69.7,0.0,16.92,-14.65,1.31,0,282.31,69.7,728.7915201107107
2019-01-01 03:30:00+00:00,336.51,75.4,0.0,23.27,-11.05,1.79,0,411.90999999999997,75.4,851.0391530161838
2019-01-01 04:30:00+00:00,406.96,81.1,0.0,27.09,-8.44,2.34,0,488.05999999999995,81.1,893.2815394540092
2019-01-01 05:30:00+00:00,421.76,82.1,0.0,27.9,-6.31,2.69,0,503.86,82.1,901.0749423554405
2019-01-01 06:30:00+00:00,375.11,81.1,0.0,25.58,-4.64,2.97,0,456.21000000000004,81.1,868.3026173125315
2019-01-01 07:30:00+00:00,279.76,73.05,0.0,20.46,-4.07,2.97,0,352.81,73.05,799.5670745128746
2019-01-01 08:30:00+00:00,149.56,56.55,0.0,13.1,-3.8,2.9,0,206.11,56.55,657.5158738729599
2019-01-01 09:30:00+00:00,29.85,15.15,0.0,4.1,-4.15,2.76,0,0.0,0.0,0.0
2019-01-01 10:30:00+00:00,0.0,0.0,0.0,0.0,-5.44,2.62,0,0.0,0.0,0.0
2019-01-01 11:30:00+00:00,0.0,0.0,0.0,0.0,-6.86,2.62,0,0.0,0.0,0.0
2019-01-01 12:30:00+00:00,0.0,0.0,0.0,0.0,-8.2,2.55,0,0.0,0.0,0.0
2019-01-01 13:30:00+00:00,0.0,0.0,0.0,0.0,-9.47,2.41,0,0.0,0.0,0.0
2019-01-01 14:30:00+00:00,0.0,0.0,0.0,0.0,-10.49,2.28,0,0.0,0.0,0.0
2019-01-01 15:30:00+00:00,0.0,0.0,0.0,0.0,-11.22,2.34,0,0.0,0.0,0.0
2019-01-01 16:30:00+00:00,0.0,0.0,0.0,0.0,-11.82,2.41,0,0.0,0.0,0.0
2019-01-01 17:30:00+00:00,0.0,0.0,0.0,0.0,-12.37,2.41,0,0.0,0.0,0.0
2019-01-01 18:30:00+00:00,0.0,0.0,0.0,0.0,-12.86,2.28,0,0.0,0.0,0.0
2019-01-01 19:30:00+00:00,0.0,0.0,0.0,0.0,-12.52,2.14,0,0.0,0.0,0.0
2019-01-01 20:30:00+00:00,0.0,0.0,0.0,0.0,-12.83,1.93,0,0.0,0.0,0.0
2019-01-01 21:30:00+00:00,0.0,0.0,0.0,0.0,-12.9,1.79,0,0.0,0.0,0.0
2019-01-01 22:30:00+00:00,0.0,0.0,0.0,0.0,-13.18,1.86,0,0.0,0.0,0.0
2019-01-01 23:30:00+00:00,0.0,0.0,0.0,0.0,-13.57,1.93,0,0.0,0.0,0.0
2019-01-02 00:30:00+00:00,0.0,0.0,0.0,-1.01,-13.84,1.93,0,0.0,0.0,0.0
2019-01-02 01:30:00+00:00,81.36,42.4,0.0,8.64,-14.25,1.93,0,123.75999999999999,42.4,535.9193370091414
2019-01-02 02:30:00+00:00,217.11,65.7,0.0,16.93,-13.13,1.72,0,282.81,65.7,743.7206863114761
